ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0001768696-20-000003	YES	101	0001768696	Encore Bancshares, Inc.	12224 CHENAL PARKWAY		LITTLE ROCK	AR	ARKANSAS	72211	5012286000	ARKANSAS				Capital Bancshares, Inc.			Corporation		overFiveYears	
0001826194-20-000002	YES	101	0001826194	KlarnaMastry SPV LLC	372 BROADWAY		NEW YORK	NY	NEW YORK	10013	650 843 5000	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001796706-20-000001	YES	101	0001796706	RCR Taylor Rail, L.P.	2211 NORFOLK SUITE 803		HOUSTON	TX	TEXAS	77098	713-535-2260	TEXAS							Limited Partnership		withinFiveYears	2017
0001838442-20-000004	YES	101	0001838442	Re:Build Manufacturing Friends & Family, LLC	161 WORCESTER ROAD, SUITE 606		FRAMINGHAM	MA	MASSACHUSETTS	01701	774-777-5276	DELAWARE				Re:Build Friends & Family, LLC			Limited Liability Company		withinFiveYears	2020
0001376474-20-000336	YES	101	0001792186	Groff NA Hemplex, LLC	100 REDCO AVENUE		RED LION	PA	PENNSYLVANIA	17356	717-825-7696	PENNSYLVANIA							Limited Liability Company		withinFiveYears	2019
0001694138-20-000002	YES	101	0001694138	Inland Retail Property Fund, LP	2901 BUTTERFIELD ROAD		OAK BROOK	IL	ILLINOIS	60523	630-586-6372	DELAWARE							Limited Partnership		overFiveYears	
0001836575-20-000001	YES	101	0001836575	Powervia Innovations Fund I, LLC	2401 FOUNTAIN VIEW DR	SUITE 461 #2027	HOUSTON	TX	TEXAS	77057	2818262570	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001831885-20-000015	YES	101	0001798314	BlackRock Direct Lending Feeder IX-U, LP	100 BELLEVUE PARKWAY		WILMINGTON	DE	DELAWARE	19809	302-797-2000	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2019
0001702434-20-000004	YES	101	0001702434	ECPH, LLC	3889 MAPLE AVENUE	PARKLAND HALL, SUITE 220	DALLAS	TX	TEXAS	75219	(214) 740-3600	DELAWARE				Acuity EyeCare Parent Holdings, LLC			Limited Liability Company		withinFiveYears	2017
0001699390-20-000001	YES	101	0001699390	AMP Robotics Corp	1500 CHERRY STREET	SUITE A	LOUISVILLE	CO	COLORADO	80027	720-470-0812	DELAWARE				AMP Robotics Corpation	AMP Robotics Corp	Cognitive Robotics, LLC	Corporation		overFiveYears	
0001837438-20-000001	YES	101	0001837438	BaroPace, Inc.	124 MANZANITA STREET		ASHLAND	OR	OREGON	97520	818-571-8252	DELAWARE	BaroPace, LLC						Corporation		withinFiveYears	2018
0001838447-20-000001	YES	101	0001838447	Goodwater Seneca, L.P.	240 LORTON AVENUE, 3RD FLOOR		BURLINGAME	CA	CALIFORNIA	94010	650-549-5144	DELAWARE							Limited Partnership		yetToBeFormed	
0001831885-20-000014	YES	101	0001798315	BlackRock Direct Lending Feeder IX-L, LP	100 BELLEVUE PARKWAY		WILMINGTON	DE	DELAWARE	19809	302-797-2000	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2019
0001838547-20-000001	YES	101	0001838547	Yellowhawk Resort WW LLC	416 N 2ND AVE		WALLA WALLA	WA	WASHINGTON	99362	2064849908	WASHINGTON							Limited Liability Company		withinFiveYears	2020
0001691902-20-000001	YES	101	0001691902	Aquilo Capital LO, L.P.	ONE LETTERMAN DRIVE, SUITE D4900	THE PRESIDIO, BUILDING D	SAN FRANCISCO	CA	CALIFORNIA	94129	415-635-0140	DELAWARE				Aquilo Capital II, L.P.			Limited Partnership		withinFiveYears	2016
0001836924-20-000001	YES	101	0001836924	Banner Ridge DSCO Fund I (Offshore), LP	641 LEXINGTON AVENUE	18TH FLOOR	NEW YORK	NY	NEW YORK	10022	(212) 301-7135	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2020
0001614270-20-000001	YES	101	0001614270	Pana Industries, Inc.	3459 RINGSBY COURT	#108	DENVER	CO	COLORADO	80216	970-222-9425	DELAWARE				Tivona & Haug, Inc.			Corporation		overFiveYears	
0001104659-20-140932	YES	101	0001602498	Royal Oak Realty Trust Inc.	600 EAST AVENUE		ROCHESTER	NY	NEW YORK	14607	585-434-1660	MARYLAND	Buckingham Net Leased  Properties Group Inc.			Buckingham Net Leased Properties Group Inc.			Corporation		overFiveYears	
0001836177-20-000001	YES	101	0001836177	Pure H20 Holdings, Inc.	211 Warren Street	Suite 318	Newark	NJ	NEW JERSEY	07103	404-664-4476	DELAWARE							Corporation		withinFiveYears	2020
0001838174-20-000001	YES	101	0001838174	Visionary Training Resources, Inc.	67 Duskwood Place		The Woodlands	TX	TEXAS	77381	908-892-5623	DELAWARE							Corporation		withinFiveYears	2020
0000950142-20-002931	YES	101	0001838307	Campus Real Estate Partners II Trust, LLC	4043 WALNUT STREET		PHILADELPHIA	PA	PENNSYLVANIA	19104	215-243-7000	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001611174-20-000001	YES	101	0001611174	Synovation Holdings LLC	224 NORTH FAIR OAKS AVENUE	SUITE 300	PASADENA	CA	CALIFORNIA	91103	6266961433	DELAWARE							Limited Liability Company		overFiveYears	
0001836874-20-000001	YES	101	0001836874	Apareo Systems, LLC	1810 NDSU RESEARCH CIRCLE N		FARGO	ND	NORTH DAKOTA	58102	7013562200	NORTH DAKOTA							Limited Liability Company		overFiveYears	
0001759569-20-000002	YES	101	0001759569	Addup Capital Fund, LP	120 LOWELL AVE.		PALO ALTO	CA	CALIFORNIA	94301	408-393-9819	DELAWARE							Limited Partnership		withinFiveYears	2018
0001761278-20-000001	YES	101	0001761278	Narmi, Inc.	335 MADISON AVENUE	16TH FLOOR	NEW YORK	NY	NEW YORK	10017	718-509-9671	DELAWARE							Corporation		withinFiveYears	2016
0001262227-20-000001	YES	101	0001262227	HUIZENGA MANAGERS FUND LLC	2215 YORK ROAD	SUITE 500	OAK BROOK	IL	ILLINOIS	60523	6309902100	DELAWARE							Limited Liability Company		overFiveYears	
0001809977-20-000003	YES	101	0001809977	JCP OZ Bio Fund LP	c/o Jefferson Capital Management LLC	5 Sanctuary Boulevard, Ste. 103	Mandeville	LA	LOUISIANA	70741	985-727-7228	DELAWARE							Limited Partnership		withinFiveYears	2020
0001761730-20-000002	YES	101	0001761730	Joiya, Inc.	8000 AVALON BLVD.	SUITE 100	ALPHARETTA	GA	GEORGIA	30009	800-955-4173	DELAWARE				Joyus, Inc.			Corporation		withinFiveYears	2018
0001838624-20-000001	YES	101	0001838624	High Alpha Capital Fund III, L.P.	830 MASSACHUSETTS AVE.	STE 1500 FL 4	INDIANAPOLIS	IN	INDIANA	46204	3177776760	DELAWARE							Limited Partnership		withinFiveYears	2020
0001683168-20-004500	YES	101	0001622879	Medicine Man Technologies, Inc.	4880 HAVANA STREET	SUITE 201	DENVER	CO	COLORADO	80239	303-371-0387	NEVADA							Corporation		overFiveYears	
0001798662-20-000002	YES	101	0001798662	Retropsoas Technologies, LLC	34 COUNTRYSIDE LANE		FRONTENAC	MO	MISSOURI	63131	618-402-0035	MISSOURI							Limited Liability Company		withinFiveYears	2017
0001833146-20-000006	YES	101	0001829310	River Birch Investments LLC / GA	6125 ROSWELL ROAD	SUITE 573	SANDY SPRINGS	GA	GEORGIA	30328	404.255.8800	GEORGIA							Limited Liability Company		withinFiveYears	2018
0001838560-20-000001	YES	101	0001838560	SP Beaumont Investor LLC	701 FIFTH AVENUE, SUITE 5700		SEATTLE	WA	WASHINGTON	98104	2066229900	WASHINGTON							Limited Liability Company		withinFiveYears	2020
0000945621-20-000373	YES	101	0001834474	Principal Digital Real Estate Fund, LP	711 HIGH STREET		DES MOINES	IA	IOWA	50392	515.362.2257	DELAWARE							Limited Partnership		withinFiveYears	2020
0001829929-20-000004	YES	101	0001829929	FAREWELLING INC	475 CLERMONT AVE	903	BROOKLYN	NY	NEW YORK	11238	6463197822	NEW YORK							Corporation		withinFiveYears	2019
0001838004-20-000001	YES	101	0001838004	GTX International Corp.	2ND FLOOR, O'NEAL MARKETING ASSOC. BLDG.	ROAD TOWN	TORTOLA	D8	VIRGIN ISLANDS, BRITISH	VG 1110	57 301 797 02 03	VIRGIN ISLANDS, BRITISH							Corporation		withinFiveYears	2020
0001837225-20-000002	YES	101	0001837225	PGIM Senior Loan Opportunities (Levered) I, L.P.	TWO PRUDENTIAL PLAZA	180 NORTH STETSON AVENUE, SUITE 5600	CHICAGO	IL	ILLINOIS	60601	312-540-4249	DELAWARE							Limited Partnership		withinFiveYears	2019
0001567619-20-021749	YES	101	0001827018	EdenGrene, Inc.	12 JEFFERSON PLACE		BERNVILLE	PA	PENNSYLVANIA	19506	484-277-2215	PENNSYLVANIA				EdenGrene, LP			Corporation		withinFiveYears	2017
0001838517-20-000001	YES	101	0001838517	MRES West Briar Holdings, LLC	12149 WEST CENTER ROAD		OMAHA	NE	NEBRASKA	68144	402-952-4599	NEBRASKA							Limited Liability Company		withinFiveYears	2020
0001798363-20-000011	YES	101	0001798363	ScrappyCito, LLC	102 Pompton Drive, Unit A		AUSTIN	TX	TEXAS	78757-8232	737-203-1577	TEXAS							Limited Liability Company		withinFiveYears	2017
0001838558-20-000003	YES	101	0001763526	Keyrock Capital Onshore Fund	Mourant Gov. Svcs (Cayman) Ltd	94 Solaris Avenue, Camana Bay	Grand Cayman	E9	CAYMAN ISLANDS	KY1-1108	345-949-4123	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2018
0001836689-20-000001	YES	101	0001836689	Coosa Springs Investments, LLC	210 E SECOND AVENUE	SUITE 105	ROME	GA	GEORGIA	30161	706-237-6100	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001838505-20-000001	YES	101	0001838505	Pretred, Inc.	3010 SOUTH NEWCOMBE WAY		LAKEWOOD	CO	COLORADO	80227	(720) 583-4088	DELAWARE							Corporation		withinFiveYears	2020
0001833146-20-000005	YES	101	0001834110	CC Investco Holdings, LLC	228 NORTH PARK AVENUE	SUITE K	WINTER PARK	FL	FLORIDA	32789	407.564.3944	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001777038-20-000002	YES	101	0001777038	Cusa Tea, Inc.	3275 Prairie Avenue, Suite B		Boulder	CO	COLORADO	80301	720-949-1901	DELAWARE							Corporation		withinFiveYears	2019
0001837851-20-000001	YES	101	0001837851	Raymond James Preservation Opportunities Fund VIII L.L.C.	880 Carillon Parkway	DEPT. 05485	Saint Petersburg	FL	FLORIDA	33716	800-438-8088	FLORIDA							Limited Liability Company		withinFiveYears	2019
0001838558-20-000002	YES	101	0001796423	Keyrock Capital Offshore Fund	Mourant Gov. Svcs (Cayman) Ltd	94 Solaris Avenue, Camana Bay	Grand Cayman	E9	CAYMAN ISLANDS	KY1-1108	345-949-4123	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2018
0001567619-20-021747	YES	101	0001761510	TILT Holdings Inc.	745 Thurlow Street, #2400		Vancouver	A1	BRITISH COLUMBIA, CANADA	V6C 0C5	(617) 956-6736	BRITISH COLUMBIA, CANADA							Corporation		withinFiveYears	2018
0001838595-20-000002	YES	101	0001838389	Private Equity Managers (2021) Offshore SCSp	200 WEST STREET		NEW YORK	NY	NEW YORK	10282-2198	212-902-1000	LUXEMBOURG							Limited Partnership		withinFiveYears	2020
0001567619-20-021742	YES	101	0001761510	TILT Holdings Inc.	745 Thurlow Street, #2400		Vancouver	A1	BRITISH COLUMBIA, CANADA	V6C 0C5	(617) 956-6736	BRITISH COLUMBIA, CANADA							Corporation		withinFiveYears	2018
0001838595-20-000001	YES	101	0001838595	Private Equity Managers (2021) LP	200 WEST STREET		NEW YORK	NY	NEW YORK	10282-2198	212-902-1000	DELAWARE							Limited Partnership		withinFiveYears	2020
0001838022-20-000003	YES	101	0001837101	Potts Pond Investments, LLC	210 E. SECOND AVENUE	SUITE 105	ROME	GA	GEORGIA	30161	7062376100	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001833146-20-000004	YES	101	0001832764	MCP Investco Holdings, LLC	228 NORTH PARK AVENUE	SUITE K	WINTER PARK	FL	FLORIDA	32789	4075643944	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001838022-20-000001	YES	101	0001838022	Hollow Oak Partners, LLC	2015 3RD AVENUE N		BIRMINGHAM	AL	ALABAMA	35203	205-580-1180	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001838580-20-000001	YES	101	0001838580	Security Bancshares, Inc./TN	210 W. WASHINGTON STREET		PARIS	TN	TENNESSEE	38242	731-642-6644	TENNESSEE							Corporation		withinFiveYears	2019
0001838390-20-000001	YES	101	0001838390	Jane Marketplace, LLC	3401 NORTH THANKSGIVING WAY, SUITE 300		LEHI	UT	UTAH	84043	604.657.8988	DELAWARE	Very Jane, LLC	Jane, LLC					Limited Liability Company		overFiveYears	
0001836308-20-000001	YES	101	0001836308	Neuberger Berman Loan Advisers Holdings III (Cayman) LP	1290 AVENUE OF THE AMERICAS		NEW YORK	NY	NEW YORK	10104	212-476-5900	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2020
0001836748-20-000001	YES	101	0001836748	DW Recovery Offshore Fund, LP	590 MADISON AVENUE	13TH FLOOR	NEW YORK	NY	NEW YORK	10022	212-751-6100	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2020
0001838464-20-000001	YES	101	0001838464	Conner Homes at Tehaleh II, LLC	12600 SE 38TH STREET	SUITE 250	BELLEVUE	WA	WASHINGTON	98006	888-302-1252	WASHINGTON							Limited Liability Company		withinFiveYears	2020
0001725059-20-000004	YES	101	0001725059	Partake Foods, Inc.	25 PARK LN.	#709	JERSEY CITY	NJ	NEW JERSEY	07310	910-685-6858	DELAWARE				Vivis Life, LLC			Corporation		withinFiveYears	2016
0001836795-20-000001	YES	101	0001836795	DW Recovery Fund, LP	590 MADISON AVENUE	13TH FLOOR	NEW YORK	NY	NEW YORK	10022	212-751-6100	DELAWARE							Limited Partnership		withinFiveYears	2020
0001838200-20-000001	YES	101	0001838200	Peachtree Opportunity Fund V, L.P.	3550 LENOX ROAD NE	SUITE 2700	ATLANTA	GA	GEORGIA	30326	4042641400	DELAWARE							Limited Partnership		withinFiveYears	2020
0001315863-20-001029	YES	101	0001728993	Equal Access Justice Fund LP	105 S. NARCISSUS, SUITE 800		WEST PALM BEACH	FL	FLORIDA	33401	(561) 566-5110	DELAWARE							Limited Partnership		withinFiveYears	2018
0001838290-20-000001	YES	101	0001838290	NWCREI Entrada Bellevue 2021 LLC	117 EAST LOUISA STREET #185		SEATTLE	WA	WASHINGTON	98102	2063821212	WASHINGTON							Limited Liability Company		yetToBeFormed	
0001567619-20-021736	YES	101	0001363846	CamCap Resources, L.P.	C/O CAMCAP RESOURCES PARTNERS, LLC	230 California Street, Suite 301	San Francisco	CA	CALIFORNIA	94111	415-658-3000	DELAWARE				CamCap Resources LP			Limited Partnership		overFiveYears	
0001567619-20-021734	YES	101	0001382305	CAMCAP RESOURCES OFFSHORE FUND, LTD	C/O SS&C FUND SERVICES (CAYMAN) LTD.	39 MARKET ST., STE. 3205, 2ND FL	CAMANA BAY, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9003	415-658-3000	CAYMAN ISLANDS				CAMCAP RESOURCES OFFSHORE FUND LTD			Other	Cayman Islands Exempted Company	overFiveYears	
0001833921-20-000006	YES	101	0001833778	USV Climate 2021, LP	915 BROADWAY	19TH FLOOR	NEW YORK	NY	NEW YORK	10010	212-994-7880	DELAWARE							Limited Partnership		withinFiveYears	2020
0001794159-20-000046	YES	101	0001668246	Trian Partners ASP Fund, a series of Alternative Strategies Platform LLC	401 S. TRYON STREET		CHARLOTTE	NC	NORTH CAROLINA	28202	704-383-6369	DELAWARE							Limited Liability Company		withinFiveYears	2016
0001784572-20-000001	YES	101	0001784572	Indy Health Holdings LLC	273A W. SCHROCK ROAD		WESTERVILLE	OH	OHIO	43081	614-414-0249	OHIO							Limited Liability Company		withinFiveYears	2018
0001838105-20-000001	YES	101	0001838105	Elle Capital Fund LP	1935 Addison Street	Suite A	Berkeley	CA	CALIFORNIA	94704	212-767-0799	DELAWARE							Limited Partnership		yetToBeFormed	
0001407766-20-000001	YES	101	0001407766	HUIZENGA GLOBAL EQUITY MANAGERS LLC	2215 YORK ROAD	SUITE 500	OAK BROOK	IL	ILLINOIS	60523	630-990-2100	DELAWARE							Limited Liability Company		overFiveYears	
0001753776-20-000002	YES	101	0001753776	Cybrexa Holding Company, LLC	5 SCIENCE PARK	395 WINCHESTER AVENUE	NEW HAVEN	CT	CONNECTICUT	06511	8608760380	DELAWARE							Limited Liability Company		withinFiveYears	2018
0001833774-20-000001	YES	101	0001833774	Cue Ball Direct Placement Opportunity I, LP	ONE FANEUIL HALL SQUARE	SUITE 700	BOSTON	MA	MASSACHUSETTS	02109	6175420100	DELAWARE							Limited Partnership		withinFiveYears	2020
0001838343-20-000001	YES	101	0001838343	Asana Partners Fund II REIT 10, LLC	1616 CAMDEN ROAD, SUITE 210		CHARLOTTE	NC	NORTH CAROLINA	28203	704-423-1660	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001838343-20-000001	NO	102	0001838338	Asana Partners Fund II REIT 11, LLC	1616 CAMDEN ROAD, SUITE 210		CHARLOTTE	NC	NORTH CAROLINA	28203	704-423-1660	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001838343-20-000001	NO	103	0001838334	Asana Partners Fund II REIT 12, LLC	1616 CAMDEN ROAD, SUITE 210		CHARLOTTE	NC	NORTH CAROLINA	28203	704-423-1660	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001838343-20-000001	NO	105	0001838461	Asana Partners Fund II REIT 15, LLC	1616 CAMDEN ROAD, SUITE 210		CHARLOTTE	NC	NORTH CAROLINA	28203	704-423-1660	DELAWARE							Limited Liability Company		withinFiveYears	2019
0001838343-20-000001	NO	104	0001838463	Asana Partners Fund II REIT 13, LLC	1616 CAMDEN ROAD, SUITE 210		CHARLOTTE	NC	NORTH CAROLINA	28203	704-423-1660	DELAWARE							Limited Liability Company		withinFiveYears	2019
